channel,difficulty,k,n,file_recall,source_coverage,answer_literal,in_source,answer_literal_corpus,decoy_literal
chart_native,1,8,2,1.0,0.5,1.0,1.0,1.0,0.0
chart_native,2,8,2,1.0,0.5,1.0,0.0,1.0,0.0
chart_native,3,8,2,1.0,0.5,1.0,1.0,1.0,1.0
chart_only,1,8,2,1.0,1.0,1.0,1.0,1.0,0.0
chart_only,2,8,2,1.0,1.0,0.0,0.0,1.0,0.0
chart_only,3,8,2,1.0,1.0,0.0,0.0,1.0,1.0
cross_file,1,8,2,1.0,1.0,0.0,0.0,0.0,0.0
cross_file,2,8,2,1.0,0.8,0.0,0.0,0.0,0.0
cross_file,3,8,2,1.0,0.7272727272727273,0.0,0.0,0.0,1.0
format,1,8,2,1.0,1.0,1.0,1.0,1.0,0.0
format,2,8,2,1.0,1.0,1.0,1.0,1.0,0.0
format,3,8,2,1.0,1.0,1.0,1.0,1.0,1.0
formula,1,8,2,1.0,0.8333333333333333,0.0,0.0,0.0,0.0
formula,2,8,2,1.0,0.05,0.0,0.0,0.0,0.0
formula,3,8,2,1.0,0.6666666666666666,0.0,0.0,0.0,1.0
hidden,1,8,2,1.0,0.6666666666666666,1.0,1.0,1.0,0.0
hidden,2,8,2,0.5,0.16666666666666666,0.5,0.0,1.0,0.0
hidden,3,8,2,1.0,0.6666666666666666,0.5,0.0,1.0,1.0
layout,1,8,2,1.0,1.0,1.0,1.0,1.0,0.0
layout,2,8,2,1.0,1.0,1.0,0.0,1.0,0.0
layout,3,8,2,1.0,1.0,1.0,1.0,1.0,1.0
locked,1,8,2,1.0,0.3333333333333333,1.0,1.0,1.0,0.0
locked,2,8,2,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
locked,3,8,2,1.0,0.3333333333333333,0.0,0.0,0.0,1.0
scanned,1,8,2,1.0,1.0,1.0,1.0,1.0,0.0
scanned,2,8,2,0.0,,0.0,0.0,0.0,0.0
scanned,3,8,2,1.0,1.0,0.0,0.0,0.0,1.0
text,1,8,3,1.0,0.4444444444444444,1.0,1.0,1.0,0.0
text,2,8,2,1.0,0.25,1.0,1.0,1.0,0.0
text,3,8,1,1.0,0.3333333333333333,1.0,1.0,1.0,0.0
version,1,8,2,1.0,0.2,1.0,1.0,1.0,0.0
version,2,8,2,1.0,0.2,1.0,1.0,1.0,1.0
version,3,8,2,1.0,0.18181818181818182,1.0,1.0,1.0,1.0
