channel,difficulty,k,n,file_recall,source_coverage,answer_literal,answer_literal_corpus,decoy_literal
formula,1,4,4,1.0,0.6666666666666666,0.0,0.0,0.0
formula,1,8,4,1.0,0.6666666666666666,0.0,0.0,0.0
formula,1,16,4,1.0,0.6666666666666666,0.0,0.0,0.0
formula,1,32,4,1.0,0.6666666666666666,0.0,0.0,0.0
formula,2,4,4,1.0,0.13617424242424242,0.0,0.0,0.0
formula,2,8,4,1.0,0.14867424242424243,0.0,0.0,0.0
formula,2,16,4,1.0,0.20284090909090907,0.0,0.0,0.0
formula,2,32,4,1.0,0.37424242424242427,0.0,0.0,0.0
formula,3,4,4,1.0,0.6666666666666666,0.0,0.0,1.0
formula,3,8,4,1.0,0.6666666666666666,0.0,0.0,1.0
formula,3,16,4,1.0,0.6666666666666666,0.0,0.0,1.0
formula,3,32,4,1.0,0.6666666666666666,0.0,0.0,1.0
text,1,4,6,1.0,0.4444444444444444,1.0,1.0,0.0
text,1,8,6,1.0,0.4444444444444444,1.0,1.0,0.0
text,1,16,6,1.0,0.47222222222222215,1.0,1.0,0.0
text,1,32,6,1.0,0.5555555555555555,1.0,1.0,0.0
text,2,4,4,1.0,0.20833333333333331,1.0,1.0,0.0
text,2,8,4,1.0,0.20833333333333331,1.0,1.0,0.0
text,2,16,4,1.0,0.20833333333333331,1.0,1.0,0.0
text,2,32,4,1.0,0.375,1.0,1.0,0.0
text,3,4,2,1.0,0.5,1.0,1.0,0.0
text,3,8,2,1.0,0.5,1.0,1.0,0.0
text,3,16,2,1.0,0.5,1.0,1.0,0.0
text,3,32,2,1.0,0.5,1.0,1.0,0.0
